Key,English,French
ammunition,Ammunition,Munitions
atA,At a,Dans un·e
afterAttaining,After attaining,Après avoir obtenu
compatibleItems,Compatible Items,Éléments compatibles
compatibleMods,Compatible Modifications,Modifications compatibles
Discard changes?,Discard changes?,Abandonner les modifications ?
nameFilter,Name filter,Filtre sur le nom
ok?,Is it OK?,Est-ce bon ?
pageList_of_weapons,List of weapons,Liste des armes
pageRecipes,Recipes,Recettes
pageRecipe,Recipe,Recette
requiredItems,Required Items,Éléments nécessaires
reset,Reset,RAZ
seeAlso,See also,Voir aussi
thatHasA,that has a,qui possède un·e
shoppingList,Shopping List,Liste de courses
shoppingListColName,Name,Nom
shoppingListColCount,Count,Quantité
